bizID;bizCat;bizCatSub;bizName;bizAddr;bizCity;bizState;bizZip;bizPhone;bizEmail;bizURL;locLat;locLong;locCounty
33;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Title Cash;1711 9th Avenue North;Bessemer;AL;35020;(205)425-7313;;www.titlecash.com;33.4077;-86.9494;Jefferson
10;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;E-Z Cash;1587 Darby Drive;Florence;AL;35630;(256)767-0044;;;34.8931;-87.6376;Lauderdale
9;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Goodwill Industries of Northern Arizona;2225 North Steves Boulevard;Flagstaff;AZ;86001;(928)526-9260;;www.goodwill.org;35.1888;-111.6603;Coconino
5;Thrift Shops;Thrift Stores;Paw Prints Thrift Shop;6040 Highway 179;Sedona;AZ;86351;(928)284-4635;;;34.7784;-111.8031;Yavapai
6;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;AJ and Lisa's Thrift Store;2141 South Chester Avenue;Bakersfield;CA;93304;(661)832-0026;;;35.3396;-119.0236;Kern
28;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Atlantic Center Mini Mall;6607 Atlantic Avenue;Bell;CA;90201;(323)773-3697;;;33.9704;-118.1852;Los Angeles
200;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Goodwill Central;464 California St;San Francisco;CA;94104;;;;37.7933;-122.4022;San Francisco
201;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Goodwill East;100 Mission St;San Francisco;CA;94105;;;;37.7925;-122.3945;San Francisco
203;;;Goodwill West;850 La Playa St;San Francisco;CA;94121;;;;37.7724;-122.5094;San Francisco
204;;;Goodwill South;2656 Ocean Ave;San Francisco;CA;94132;;;;37.7322;-122.474;San Francisco
25;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Mister Money the USA;111 West Monroe Drive;Fort Collins;CO;80525;(970)204-7800;;;40.5065;-105.0136;Larimer
40;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Cycle Central;1021 South Lincoln Avenue;Loveland;CO;80537;(970)461-9466;;www.cyclecentralinc.com;40.3726;-105.1330;Larimer
8;Thrift Shops;Used Furniture Dealers;Village Antiques;1340 Main Street;Coventry;CT;06238;(860)742-5701;;;41.7832;-72.3394;Tolland
39;Thrift Shops;Used Furniture Dealers;A & K New & Used Furniture;2600 North T Street;Pensacola;FL;32505;(850)438-0655;;;30.4560;-87.2602;Escambia
30;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;EZ Pawn;5123 North Nebraska Avenue;Tampa;FL;33603;(813)234-7296;;www.ezpawn.com;27.9827;-82.4594;Hillsborough
21;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Buy-Gones;1014 South 7th Street;Fernandina Beach;FL;32034;(904)277-4071;;;30.6056;-81.5268;Nassau
13;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;East Coast Furniture CO;1319 North Federal Highway;Delray Beach;FL;33483;(561)265-3740;;;26.4557;-80.0677;Palm Beach
11;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;Best Value Pawn;2817 South USHighway 1;Fort Pierce;FL;34982;(772)467-1199;;;27.3793;-80.3175;Saint Lucie
16;Thrift Shops;Resale- Second Hand- & Used Merchandise Stores;America's Thrift Store;3870 Lawrenceville Highway;Lawrenceville;GA;30044;(770)996-5900;;;33.9230;-84.0730;Gwinnett
300;;;Goodwill Hoffman Estates;2535 W Golf Rd;Hoffman Estates;IL;60169;;;;42.047802;-88.1416922;Cook
